Year,Value,Units,Series
2013,91.22,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado
2018,99.46,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado
2017,106.06,%,Gasto liquidado por la administración local en relación al gasto presupuestado
2022,105.06,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado
2019,106.56,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado
2014,98.26,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado
2017,97.52,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado
2021,107.29,%,Gasto liquidado por la administración local en relación al gasto presupuestado
2012,97.69,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado
2020,90.48,%,Gasto liquidado por la administración local en relación al gasto presupuestado
2021,101.01,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado
2020,99.79,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado
2015,95.46,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado
2010,100.0,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado
2022,103.74,%,Gasto liquidado por la administración local en relación al gasto presupuestado
2023,101.37,%,Gasto liquidado por la administración local en relación al gasto presupuestado
2018,101.54,%,Gasto liquidado por la administración local en relación al gasto presupuestado
2019,100.69,%,Gasto liquidado por la administración local en relación al gasto presupuestado
2016,94.36,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado
2011,96.27,%,Gasto liquidado por la administración autonómica en relación al gasto presupuestado
