Year,Value,Units,Series,GeoCode
2019,99.9,Porcentaje,Proporción de viviendas familiares principales con acceso a agua corriente,
2023,99.9,Porcentaje,Proporción de viviendas familiares principales con acceso a agua corriente,
2010,99.5,Porcentaje,Proporción de viviendas familiares principales que disponen de baño,
2022,99.9,Porcentaje,Proporción de viviendas familiares principales con acceso a agua corriente,
2014,99.9,Porcentaje,Proporción de viviendas familiares principales con acceso a agua corriente,
2015,99.6,Porcentaje,Proporción de viviendas familiares principales que disponen de baño,
2021,99.9,Porcentaje,Proporción de viviendas familiares principales con acceso a agua corriente,
2013,99.9,Porcentaje,Proporción de viviendas familiares principales con acceso a agua corriente,
2021,99.8,Porcentaje,Proporción de viviendas familiares principales que disponen de baño,
2016,99.9,Porcentaje,Proporción de viviendas familiares principales con acceso a agua corriente,
2015,99.9,Porcentaje,Proporción de viviendas familiares principales con acceso a agua corriente,
2020,99.8,Porcentaje,Proporción de viviendas familiares principales que disponen de baño,
2016,99.6,Porcentaje,Proporción de viviendas familiares principales que disponen de baño,
2020,99.9,Porcentaje,Proporción de viviendas familiares principales con acceso a agua corriente,
2018,99.9,Porcentaje,Proporción de viviendas familiares principales con acceso a agua corriente,
2013,99.6,Porcentaje,Proporción de viviendas familiares principales que disponen de baño,
2023,99.8,Porcentaje,Proporción de viviendas familiares principales que disponen de baño,
2019,99.6,Porcentaje,Proporción de viviendas familiares principales que disponen de baño,
2022,99.8,Porcentaje,Proporción de viviendas familiares principales que disponen de baño,
2014,99.6,Porcentaje,Proporción de viviendas familiares principales que disponen de baño,
2018,99.6,Porcentaje,Proporción de viviendas familiares principales que disponen de baño,
2010,99.9,Porcentaje,Proporción de viviendas familiares principales con acceso a agua corriente,
