Year,Value,Units,Series
2000,3.5,Porcentaje,Prevalencia de la inseguridad alimentaria moderada o severa
2004,5.2,Porcentaje,Prevalencia de la inseguridad alimentaria moderada o severa
2008,5.7,Porcentaje,Prevalencia de la inseguridad alimentaria moderada o severa
2012,7.7,Porcentaje,Prevalencia de la inseguridad alimentaria moderada o severa
2014,7.5,Porcentaje,Prevalencia de la inseguridad alimentaria moderada o severa
2016,6.7,Porcentaje,Prevalencia de la inseguridad alimentaria moderada o severa
2018,3.9,Porcentaje,Prevalencia de la inseguridad alimentaria moderada o severa
2020,3.7,Porcentaje,Prevalencia de la inseguridad alimentaria moderada o severa
2022,3.0,Porcentaje,Prevalencia de la inseguridad alimentaria moderada o severa
2000,1.1,Porcentaje,Prevalencia de la inseguridad alimentaria severa
2004,2.7,Porcentaje,Prevalencia de la inseguridad alimentaria severa
2008,2.1,Porcentaje,Prevalencia de la inseguridad alimentaria severa
2012,3.1,Porcentaje,Prevalencia de la inseguridad alimentaria severa
2014,2.9,Porcentaje,Prevalencia de la inseguridad alimentaria severa
2016,3.1,Porcentaje,Prevalencia de la inseguridad alimentaria severa
2018,1.8,Porcentaje,Prevalencia de la inseguridad alimentaria severa
2020,1.9,Porcentaje,Prevalencia de la inseguridad alimentaria severa
2022,1.1,Porcentaje,Prevalencia de la inseguridad alimentaria severa
