Year,Serie,Sexua,Cobertura,Residencia,Discapacidad,Lurraldea,Eskualdea,Udalerria,Unidad,GeoCode,Value
2010,AES,,TIT,,,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,6.5
2011,AES,,TIT,,,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,6.2
2012,AES,,TIT,,,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,8.4
2013,AES,,TIT,,,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,10.3
2014,AES,,TIT,,,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,11.9
2015,AES,,TIT,,,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,12.7
2016,AES,,TIT,,,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,13.3
2017,AES,,TIT,,,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,12.9
2018,AES,,TIT,,,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,12.9
2019,AES,,TIT,,,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,12.8
2020,AES,,TIT,,,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,13.8
2021,AES,,TIT,,,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,13.9
2022,AES,,TIT,,,Araba/Álava,,,1.000 biztanle bakoitzeko,Araba/Álava,12.6
2010,AES,,TIT,,,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,8.4
2011,AES,,TIT,,,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,5.4
2012,AES,,TIT,,,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,7.7
2013,AES,,TIT,,,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,8.6
2014,AES,,TIT,,,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,9.2
2015,AES,,TIT,,,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,10.0
2016,AES,,TIT,,,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,12.6
2017,AES,,TIT,,,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,8.8
2018,AES,,TIT,,,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,13.3
2019,AES,,TIT,,,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,15.4
2020,AES,,TIT,,,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,13.4
2021,AES,,TIT,,,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,13.1
2022,AES,,TIT,,,,,Alegría-Dulantzi,1.000 biztanle bakoitzeko,Alegría-Dulantzi,13.6
2010,AES,,TIT,,,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,8.2
2011,AES,,TIT,,,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,4.6
2012,AES,,TIT,,,,,Amurrio,1.000 biztanle bakoitzeko,Amurrio,5.0
