Year,Territorio histórico,Comarca,Municipio,Units,GeoCode,Value
2019,,,,Porcentaje,,0.9
2020,,,,Porcentaje,,0.8
2015,,,,Porcentaje,,0.8
2011,,,,Porcentaje,,0.7
2012,,,,Porcentaje,,0.9
2018,,,,Porcentaje,,0.9
2010,,,,Porcentaje,,0.7
2016,,,,Porcentaje,,0.8
2017,,,,Porcentaje,,1.0
2022,,,,Porcentaje,,0.9
2013,,,,Porcentaje,,0.9
2021,,,,Porcentaje,,0.9
2014,,,,Porcentaje,,0.8
2023,,,,Porcentaje,,0.9
2017,,,Abadiño,Porcentaje,Abadiño,0.2
2015,,,Abadiño,Porcentaje,Abadiño,0.2
2020,,,Abadiño,Porcentaje,Abadiño,0.3
2010,,,Abadiño,Porcentaje,Abadiño,0.2
2016,,,Abadiño,Porcentaje,Abadiño,0.2
2021,,,Abadiño,Porcentaje,Abadiño,0.3
2014,,,Abadiño,Porcentaje,Abadiño,0.2
2018,,,Abadiño,Porcentaje,Abadiño,0.2
2012,,,Abadiño,Porcentaje,Abadiño,0.2
2019,,,Abadiño,Porcentaje,Abadiño,0.2
2018,,,Abaltzisketa,Porcentaje,Abaltzisketa,5.6
2016,,,Abaltzisketa,Porcentaje,Abaltzisketa,7.7
2010,,,Abaltzisketa,Porcentaje,Abaltzisketa,7.1
2012,,,Abaltzisketa,Porcentaje,Abaltzisketa,6.6
2015,,,Abaltzisketa,Porcentaje,Abaltzisketa,9.7
2017,,,Abaltzisketa,Porcentaje,Abaltzisketa,7.0
2014,,,Abaltzisketa,Porcentaje,Abaltzisketa,6.7
2021,,,Abaltzisketa,Porcentaje,Abaltzisketa,7.9
2019,,,Abaltzisketa,Porcentaje,Abaltzisketa,6.5
2020,,,Abaltzisketa,Porcentaje,Abaltzisketa,6.5
2021,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.3
2019,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.2
2014,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.5
2012,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.4
2015,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.3
2017,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.3
2020,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.2
2018,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.2
2016,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.3
2010,,,Abanto y Ciérvana-Abanto Zierbena,Porcentaje,Abanto y Ciérvana-Abanto Zierbena,0.4
2014,,,Aduna,Porcentaje,Aduna,0.6
2017,,,Aduna,Porcentaje,Aduna,0.7
2016,,,Aduna,Porcentaje,Aduna,0.6
2021,,,Aduna,Porcentaje,Aduna,0.4
2018,,,Aduna,Porcentaje,Aduna,0.5
2015,,,Aduna,Porcentaje,Aduna,0.7
2012,,,Aduna,Porcentaje,Aduna,0.6
2020,,,Aduna,Porcentaje,Aduna,0.4
2019,,,Aduna,Porcentaje,Aduna,0.5
2010,,,Aduna,Porcentaje,Aduna,0.4
2019,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,1.5
2020,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,1.5
2015,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.7
2021,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,1.6
2017,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,1.7
2018,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,1.6
2010,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.3
2012,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.4
2014,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.8
2016,,,Agurain/Salvatierra,Porcentaje,Agurain/Salvatierra,2.2
2014,,,Aia,Porcentaje,Aia,5.3
2021,,,Aia,Porcentaje,Aia,4.7
2012,,,Aia,Porcentaje,Aia,6.2
2017,,,Aia,Porcentaje,Aia,5.2
2010,,,Aia,Porcentaje,Aia,6.0
2018,,,Aia,Porcentaje,Aia,4.2
2015,,,Aia,Porcentaje,Aia,5.2
2019,,,Aia,Porcentaje,Aia,5.0
2016,,,Aia,Porcentaje,Aia,4.7
2020,,,Aia,Porcentaje,Aia,4.9
2021,,,Aizarnazabal,Porcentaje,Aizarnazabal,0.9
2017,,,Aizarnazabal,Porcentaje,Aizarnazabal,1.0
