Year,Sexua,Lurralde historikoa,Units,Value
2019,,,PER_1000_LIVE_BIRTHS,3.57
2021,,,PER_1000_LIVE_BIRTHS,2.95
2023,,,PER_1000_LIVE_BIRTHS,3.12
2020,,,PER_1000_LIVE_BIRTHS,3.05
2022,,,PER_1000_LIVE_BIRTHS,3.59
2010,,,PER_1000_LIVE_BIRTHS,3.5
2016,,,PER_1000_LIVE_BIRTHS,3.18
2013,,,PER_1000_LIVE_BIRTHS,2.77
2014,,,PER_1000_LIVE_BIRTHS,2.89
2017,,,PER_1000_LIVE_BIRTHS,2.75
2015,,,PER_1000_LIVE_BIRTHS,3.45
2011,,,PER_1000_LIVE_BIRTHS,3.35
2012,,,PER_1000_LIVE_BIRTHS,3.17
2018,,,PER_1000_LIVE_BIRTHS,3.6
2010,,Araba / Álava,PER_1000_LIVE_BIRTHS,2.99
2017,,Araba / Álava,PER_1000_LIVE_BIRTHS,3.04
2019,,Araba / Álava,PER_1000_LIVE_BIRTHS,2.34
2013,,Araba / Álava,PER_1000_LIVE_BIRTHS,3.23
2012,,Araba / Álava,PER_1000_LIVE_BIRTHS,3.34
2016,,Araba / Álava,PER_1000_LIVE_BIRTHS,3.25
2023,,Araba / Álava,PER_1000_LIVE_BIRTHS,4.96
2011,,Araba / Álava,PER_1000_LIVE_BIRTHS,3.79
2018,,Araba / Álava,PER_1000_LIVE_BIRTHS,4.47
2022,,Araba / Álava,PER_1000_LIVE_BIRTHS,4.41
2014,,Araba / Álava,PER_1000_LIVE_BIRTHS,3.05
2015,,Araba / Álava,PER_1000_LIVE_BIRTHS,2.53
2020,,Araba / Álava,PER_1000_LIVE_BIRTHS,3.34
2021,,Araba / Álava,PER_1000_LIVE_BIRTHS,3.8
2011,,Bizkaia,PER_1000_LIVE_BIRTHS,3.74
2012,,Bizkaia,PER_1000_LIVE_BIRTHS,3.19
2013,,Bizkaia,PER_1000_LIVE_BIRTHS,2.47
2016,,Bizkaia,PER_1000_LIVE_BIRTHS,3.39
2022,,Bizkaia,PER_1000_LIVE_BIRTHS,3.35
2019,,Bizkaia,PER_1000_LIVE_BIRTHS,3.89
2014,,Bizkaia,PER_1000_LIVE_BIRTHS,2.57
2023,,Bizkaia,PER_1000_LIVE_BIRTHS,3.45
2020,,Bizkaia,PER_1000_LIVE_BIRTHS,3.01
2018,,Bizkaia,PER_1000_LIVE_BIRTHS,3.65
2010,,Bizkaia,PER_1000_LIVE_BIRTHS,4.15
2015,,Bizkaia,PER_1000_LIVE_BIRTHS,4.39
2021,,Bizkaia,PER_1000_LIVE_BIRTHS,2.73
2017,,Bizkaia,PER_1000_LIVE_BIRTHS,2.82
2017,,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.5
2018,,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.11
2022,,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.55
2013,,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.02
2021,,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.84
2010,,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.77
2019,,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.7
2015,,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.52
2016,,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.66
2011,,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.55
2012,,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.04
2020,,Gipuzkoa,PER_1000_LIVE_BIRTHS,2.99
2023,,Gipuzkoa,PER_1000_LIVE_BIRTHS,1.75
2014,,Gipuzkoa,PER_1000_LIVE_BIRTHS,3.3
2016,Emakumea,,PER_1000_LIVE_BIRTHS,2.8
2015,Emakumea,,PER_1000_LIVE_BIRTHS,3.4
2013,Emakumea,,PER_1000_LIVE_BIRTHS,2.58
2012,Emakumea,,PER_1000_LIVE_BIRTHS,3.57
2014,Emakumea,,PER_1000_LIVE_BIRTHS,2.84
2022,Emakumea,,PER_1000_LIVE_BIRTHS,2.42
2021,Emakumea,,PER_1000_LIVE_BIRTHS,2.77
2019,Emakumea,,PER_1000_LIVE_BIRTHS,3.33
2017,Emakumea,,PER_1000_LIVE_BIRTHS,2.18
2010,Emakumea,,PER_1000_LIVE_BIRTHS,3.77
2020,Emakumea,,PER_1000_LIVE_BIRTHS,2.82
2018,Emakumea,,PER_1000_LIVE_BIRTHS,3.7
2023,Emakumea,,PER_1000_LIVE_BIRTHS,3.05
