Year,Lurralde historikoa,Eskualdea,Udalerria,Units,GeoCode,Value
2022,,,,PER_10000,,4.6
2019,,,,PER_10000,,3.8
2023,,,,PER_10000,,5.7
2021,,,,PER_10000,,4.0
2020,,,,PER_10000,,3.1
2020,,,ES48001,PER_10000,ES48001,0.0
2021,,,ES48001,PER_10000,ES48001,5.2
2022,,,ES48001,PER_10000,ES48001,2.6
2023,,,ES48001,PER_10000,ES48001,5.1
2019,,,ES48001,PER_10000,ES48001,5.2
2019,,,Abaltzisketa,PER_10000,Abaltzisketa,0.0
2020,,,Abaltzisketa,PER_10000,Abaltzisketa,0.0
2023,,,Abaltzisketa,PER_10000,Abaltzisketa,0.0
2022,,,Abaltzisketa,PER_10000,Abaltzisketa,0.0
2021,,,Abaltzisketa,PER_10000,Abaltzisketa,0.0
2020,,,ES48002,PER_10000,ES48002,0.0
2021,,,ES48002,PER_10000,ES48002,0.0
2019,,,ES48002,PER_10000,ES48002,2.1
2022,,,ES48002,PER_10000,ES48002,0.0
2023,,,ES48002,PER_10000,ES48002,53.2
2020,,,Aduna,PER_10000,Aduna,0.0
2023,,,Aduna,PER_10000,Aduna,0.0
2022,,,Aduna,PER_10000,Aduna,0.0
2019,,,Aduna,PER_10000,Aduna,0.0
2021,,,Aduna,PER_10000,Aduna,0.0
2019,,,Agurain / Salvatierra,PER_10000,Agurain / Salvatierra,0.0
2021,,,Agurain / Salvatierra,PER_10000,Agurain / Salvatierra,3.9
2020,,,Agurain / Salvatierra,PER_10000,Agurain / Salvatierra,0.0
2023,,,Agurain / Salvatierra,PER_10000,Agurain / Salvatierra,11.6
2022,,,Agurain / Salvatierra,PER_10000,Agurain / Salvatierra,3.9
2020,,,Aia,PER_10000,Aia,10.5
2022,,,Aia,PER_10000,Aia,20.0
2019,,,Aia,PER_10000,Aia,0.0
2023,,,Aia,PER_10000,Aia,0.0
2021,,,Aia,PER_10000,Aia,0.0
2023,,,Aizarnazabal,PER_10000,Aizarnazabal,0.0
2020,,,Aizarnazabal,PER_10000,Aizarnazabal,0.0
2021,,,Aizarnazabal,PER_10000,Aizarnazabal,0.0
2022,,,Aizarnazabal,PER_10000,Aizarnazabal,0.0
2019,,,Aizarnazabal,PER_10000,Aizarnazabal,0.0
2022,,,ES48911,PER_10000,ES48911,0.0
2021,,,ES48911,PER_10000,ES48911,0.0
2023,,,ES48911,PER_10000,ES48911,0.0
2019,,,ES48911,PER_10000,ES48911,0.0
2020,,,ES48911,PER_10000,ES48911,0.0
2020,,,Albiztur,PER_10000,Albiztur,0.0
2021,,,Albiztur,PER_10000,Albiztur,0.0
2022,,,Albiztur,PER_10000,Albiztur,0.0
2019,,,Albiztur,PER_10000,Albiztur,0.0
2023,,,Albiztur,PER_10000,Albiztur,0.0
2020,,,Alegia,PER_10000,Alegia,0.0
2019,,,Alegia,PER_10000,Alegia,0.0
2021,,,Alegia,PER_10000,Alegia,0.0
2023,,,Alegia,PER_10000,Alegia,0.0
2022,,,Alegia,PER_10000,Alegia,0.0
2021,,,Alegría-Dulantzi,PER_10000,Alegría-Dulantzi,13.1
2019,,,Alegría-Dulantzi,PER_10000,Alegría-Dulantzi,0.0
2023,,,Alegría-Dulantzi,PER_10000,Alegría-Dulantzi,6.5
2022,,,Alegría-Dulantzi,PER_10000,Alegría-Dulantzi,0.0
2020,,,Alegría-Dulantzi,PER_10000,Alegría-Dulantzi,0.0
2022,,,Alkiza,PER_10000,Alkiza,0.0
2021,,,Alkiza,PER_10000,Alkiza,0.0
2019,,,Alkiza,PER_10000,Alkiza,0.0
2023,,,Alkiza,PER_10000,Alkiza,0.0
2020,,,Alkiza,PER_10000,Alkiza,0.0
2023,,,ES48912,PER_10000,ES48912,0.0
2022,,,ES48912,PER_10000,ES48912,0.0
2019,,,ES48912,PER_10000,ES48912,0.0
2020,,,ES48912,PER_10000,ES48912,0.0
2021,,,ES48912,PER_10000,ES48912,0.0
2020,,,ES20906,PER_10000,ES20906,0.0
2019,,,ES20906,PER_10000,ES20906,0.0
2023,,,ES20906,PER_10000,ES20906,0.0
2021,,,ES20906,PER_10000,ES20906,0.0
2022,,,ES20906,PER_10000,ES20906,0.0
2020,,,Altzo,PER_10000,Altzo,0.0
2019,,,Altzo,PER_10000,Altzo,0.0
2023,,,Altzo,PER_10000,Altzo,0.0
2022,,,Altzo,PER_10000,Altzo,0.0
2021,,,Altzo,PER_10000,Altzo,0.0
2022,,,Amezketa,PER_10000,Amezketa,0.0
2023,,,Amezketa,PER_10000,Amezketa,0.0
2020,,,Amezketa,PER_10000,Amezketa,0.0
2021,,,Amezketa,PER_10000,Amezketa,0.0
2019,,,Amezketa,PER_10000,Amezketa,22.9
2022,,,ES48003,PER_10000,ES48003,3.1
2019,,,ES48003,PER_10000,ES48003,3.1
2023,,,ES48003,PER_10000,ES48003,2.0
2020,,,ES48003,PER_10000,ES48003,0.0
2021,,,ES48003,PER_10000,ES48003,1.0
2019,,,ES48004,PER_10000,ES48004,0.0
2021,,,ES48004,PER_10000,ES48004,0.0
2020,,,ES48004,PER_10000,ES48004,0.0
2022,,,ES48004,PER_10000,ES48004,0.0
2023,,,ES48004,PER_10000,ES48004,0.0
2019,,,Amurrio,PER_10000,Amurrio,0.0
2023,,,Amurrio,PER_10000,Amurrio,1.9
2020,,,Amurrio,PER_10000,Amurrio,0.0
2021,,,Amurrio,PER_10000,Amurrio,3.8
2022,,,Amurrio,PER_10000,Amurrio,7.6
2022,,,Andoain,PER_10000,Andoain,2.7
2019,,,Andoain,PER_10000,Andoain,0.0
2021,,,Andoain,PER_10000,Andoain,0.0
2023,,,Andoain,PER_10000,Andoain,4.1
2020,,,Andoain,PER_10000,Andoain,0.0
2023,,,Anoeta,PER_10000,Anoeta,9.7
2020,,,Anoeta,PER_10000,Anoeta,0.0
2019,,,Anoeta,PER_10000,Anoeta,0.0
2022,,,Anoeta,PER_10000,Anoeta,0.0
2021,,,Anoeta,PER_10000,Anoeta,0.0
2021,,,Antzuola,PER_10000,Antzuola,0.0
2022,,,Antzuola,PER_10000,Antzuola,0.0
2020,,,Antzuola,PER_10000,Antzuola,0.0
2023,,,Antzuola,PER_10000,Antzuola,0.0
2019,,,Antzuola,PER_10000,Antzuola,0.0
2023,,,Añana,PER_10000,Añana,0.0
2022,,,Añana,PER_10000,Añana,0.0
2020,,,Añana,PER_10000,Añana,0.0
2019,,,Añana,PER_10000,Añana,0.0
2021,,,Añana,PER_10000,Añana,0.0
2019,,,ES48005,PER_10000,ES48005,0.0
2020,,,ES48005,PER_10000,ES48005,0.0
2022,,,ES48005,PER_10000,ES48005,0.0
2021,,,ES48005,PER_10000,ES48005,0.0
2023,,,ES48005,PER_10000,ES48005,0.0
2021,,,Arama,PER_10000,Arama,0.0
2020,,,Arama,PER_10000,Arama,0.0
2019,,,Arama,PER_10000,Arama,0.0
2023,,,Arama,PER_10000,Arama,0.0
2022,,,Arama,PER_10000,Arama,0.0
2019,,,Aramaio,PER_10000,Aramaio,13.9
2020,,,Aramaio,PER_10000,Aramaio,0.0
2021,,,Aramaio,PER_10000,Aramaio,0.0
2022,,,Aramaio,PER_10000,Aramaio,0.0
2023,,,Aramaio,PER_10000,Aramaio,0.0
2023,,,ES48006,PER_10000,ES48006,0.0
2022,,,ES48006,PER_10000,ES48006,0.0
2019,,,ES48006,PER_10000,ES48006,0.0
2020,,,ES48006,PER_10000,ES48006,0.0
2021,,,ES48006,PER_10000,ES48006,0.0
2021,,,ES48093,PER_10000,ES48093,0.0
2020,,,ES48093,PER_10000,ES48093,0.0
2022,,,ES48093,PER_10000,ES48093,0.0
2023,,,ES48093,PER_10000,ES48093,15.4
2019,,,ES48093,PER_10000,ES48093,0.0
2019,,,Aretxabaleta,PER_10000,Aretxabaleta,0.0
2021,,,Aretxabaleta,PER_10000,Aretxabaleta,0.0
2023,,,Aretxabaleta,PER_10000,Aretxabaleta,0.0
2022,,,Aretxabaleta,PER_10000,Aretxabaleta,5.6
2020,,,Aretxabaleta,PER_10000,Aretxabaleta,2.8
2020,,,Armiñón,PER_10000,Armiñón,0.0
2022,,,Armiñón,PER_10000,Armiñón,0.0
2023,,,Armiñón,PER_10000,Armiñón,0.0
2019,,,Armiñón,PER_10000,Armiñón,0.0
2021,,,Armiñón,PER_10000,Armiñón,0.0
2021,,,Arraia-Maeztu,PER_10000,Arraia-Maeztu,0.0
2020,,,Arraia-Maeztu,PER_10000,Arraia-Maeztu,0.0
2022,,,Arraia-Maeztu,PER_10000,Arraia-Maeztu,0.0
2019,,,Arraia-Maeztu,PER_10000,Arraia-Maeztu,0.0
2023,,,Arraia-Maeztu,PER_10000,Arraia-Maeztu,0.0
2023,,,ES48009,PER_10000,ES48009,0.0
2020,,,ES48009,PER_10000,ES48009,0.0
2022,,,ES48009,PER_10000,ES48009,0.0
2019,,,ES48009,PER_10000,ES48009,19.6
2021,,,ES48009,PER_10000,ES48009,0.0
2019,,,Arrasate / Mondragón,PER_10000,Arrasate / Mondragón,2.7
2021,,,Arrasate / Mondragón,PER_10000,Arrasate / Mondragón,11.8
2022,,,Arrasate / Mondragón,PER_10000,Arrasate / Mondragón,4.5
2020,,,Arrasate / Mondragón,PER_10000,Arrasate / Mondragón,0.9
2023,,,Arrasate / Mondragón,PER_10000,Arrasate / Mondragón,6.3
2020,,,ES48914,PER_10000,ES48914,0.0
2019,,,ES48914,PER_10000,ES48914,0.0
2022,,,ES48914,PER_10000,ES48914,0.0
2021,,,ES48914,PER_10000,ES48914,0.0
2023,,,ES48914,PER_10000,ES48914,0.0
2023,,,Arratzua-Ubarrundia,PER_10000,Arratzua-Ubarrundia,0.0
2020,,,Arratzua-Ubarrundia,PER_10000,Arratzua-Ubarrundia,21.0
2019,,,Arratzua-Ubarrundia,PER_10000,Arratzua-Ubarrundia,0.0
2022,,,Arratzua-Ubarrundia,PER_10000,Arratzua-Ubarrundia,0.0
