Year,Tipo de violencia,Territorio,Comarca,Municipio,Units,GeoCode,Value
2019,Todos los tipos de violencia,,,,Por 10.000,,48.9
2022,Todos los tipos de violencia,,,,Por 10.000,,46.7
2020,Todos los tipos de violencia,,,,Por 10.000,,46.7
2018,Todos los tipos de violencia,,,,Por 10.000,,47.3
2021,Todos los tipos de violencia,,,,Por 10.000,,48.2
2019,Todos los tipos de violencia,,,Abadiño,Por 10.000,Abadiño,33.6
2021,Todos los tipos de violencia,,,Abadiño,Por 10.000,Abadiño,38.7
2020,Todos los tipos de violencia,,,Abadiño,Por 10.000,Abadiño,23.3
2018,Todos los tipos de violencia,,,Abadiño,Por 10.000,Abadiño,44.1
2020,Todos los tipos de violencia,,,Abaltzisketa,Por 10.000,Abaltzisketa,71.4
2018,Todos los tipos de violencia,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2019,Todos los tipos de violencia,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2021,Todos los tipos de violencia,,,Abaltzisketa,Por 10.000,Abaltzisketa,0.0
2019,Todos los tipos de violencia,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,54.2
2020,Todos los tipos de violencia,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,86.0
2018,Todos los tipos de violencia,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,55.9
2021,Todos los tipos de violencia,,,Abanto y Ciérvana-Abanto Zierbena,Por 10.000,Abanto y Ciérvana-Abanto Zierbena,67.7
2018,Todos los tipos de violencia,,,Aduna,Por 10.000,Aduna,135.7
2021,Todos los tipos de violencia,,,Aduna,Por 10.000,Aduna,0.0
2020,Todos los tipos de violencia,,,Aduna,Por 10.000,Aduna,132.7
2019,Todos los tipos de violencia,,,Aduna,Por 10.000,Aduna,0.0
2021,Todos los tipos de violencia,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,34.9
2019,Todos los tipos de violencia,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,41.4
2018,Todos los tipos de violencia,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,49.0
2020,Todos los tipos de violencia,,,Agurain/Salvatierra,Por 10.000,Agurain/Salvatierra,57.3
2019,Todos los tipos de violencia,,,Aia,Por 10.000,Aia,43.0
2020,Todos los tipos de violencia,,,Aia,Por 10.000,Aia,52.7
2021,Todos los tipos de violencia,,,Aia,Por 10.000,Aia,0.0
2018,Todos los tipos de violencia,,,Aia,Por 10.000,Aia,31.9
2019,Todos los tipos de violencia,,,Aizarnazabal,Por 10.000,Aizarnazabal,0.0
2020,Todos los tipos de violencia,,,Aizarnazabal,Por 10.000,Aizarnazabal,0.0
2021,Todos los tipos de violencia,,,Aizarnazabal,Por 10.000,Aizarnazabal,26.2
2018,Todos los tipos de violencia,,,Aizarnazabal,Por 10.000,Aizarnazabal,0.0
2021,Todos los tipos de violencia,,,Ajangiz,Por 10.000,Ajangiz,0.0
2020,Todos los tipos de violencia,,,Ajangiz,Por 10.000,Ajangiz,0.0
2018,Todos los tipos de violencia,,,Ajangiz,Por 10.000,Ajangiz,0.0
2019,Todos los tipos de violencia,,,Ajangiz,Por 10.000,Ajangiz,0.0
2020,Todos los tipos de violencia,,,Albiztur,Por 10.000,Albiztur,0.0
2018,Todos los tipos de violencia,,,Albiztur,Por 10.000,Albiztur,0.0
2021,Todos los tipos de violencia,,,Albiztur,Por 10.000,Albiztur,0.0
2019,Todos los tipos de violencia,,,Albiztur,Por 10.000,Albiztur,0.0
2021,Todos los tipos de violencia,,,Alegia,Por 10.000,Alegia,34.9
2018,Todos los tipos de violencia,,,Alegia,Por 10.000,Alegia,47.4
2020,Todos los tipos de violencia,,,Alegia,Por 10.000,Alegia,46.1
2019,Todos los tipos de violencia,,,Alegia,Por 10.000,Alegia,46.8
2021,Todos los tipos de violencia,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,52.4
2018,Todos los tipos de violencia,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,66.7
2019,Todos los tipos de violencia,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,46.3
2020,Todos los tipos de violencia,,,Alegría-Dulantzi,Por 10.000,Alegría-Dulantzi,59.2
2020,Todos los tipos de violencia,,,Alkiza,Por 10.000,Alkiza,0.0
2018,Todos los tipos de violencia,,,Alkiza,Por 10.000,Alkiza,0.0
2019,Todos los tipos de violencia,,,Alkiza,Por 10.000,Alkiza,0.0
2021,Todos los tipos de violencia,,,Alkiza,Por 10.000,Alkiza,0.0
2019,Todos los tipos de violencia,,,Alonsotegi,Por 10.000,Alonsotegi,74.1
2021,Todos los tipos de violencia,,,Alonsotegi,Por 10.000,Alonsotegi,59.4
2020,Todos los tipos de violencia,,,Alonsotegi,Por 10.000,Alonsotegi,26.8
2018,Todos los tipos de violencia,,,Alonsotegi,Por 10.000,Alonsotegi,26.8
2018,Todos los tipos de violencia,,,Altzaga,Por 10.000,Altzaga,0.0
2019,Todos los tipos de violencia,,,Altzaga,Por 10.000,Altzaga,0.0
2021,Todos los tipos de violencia,,,Altzaga,Por 10.000,Altzaga,0.0
2020,Todos los tipos de violencia,,,Altzaga,Por 10.000,Altzaga,0.0
2020,Todos los tipos de violencia,,,Altzo,Por 10.000,Altzo,0.0
2021,Todos los tipos de violencia,,,Altzo,Por 10.000,Altzo,0.0
2019,Todos los tipos de violencia,,,Altzo,Por 10.000,Altzo,0.0
2018,Todos los tipos de violencia,,,Altzo,Por 10.000,Altzo,0.0
2020,Todos los tipos de violencia,,,Amezketa,Por 10.000,Amezketa,22.5
2018,Todos los tipos de violencia,,,Amezketa,Por 10.000,Amezketa,0.0
2019,Todos los tipos de violencia,,,Amezketa,Por 10.000,Amezketa,22.9
2021,Todos los tipos de violencia,,,Amezketa,Por 10.000,Amezketa,22.3
2021,Todos los tipos de violencia,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,34.8
2020,Todos los tipos de violencia,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,33.0
2019,Todos los tipos de violencia,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,37.5
2018,Todos los tipos de violencia,,,Amorebieta-Etxano,Por 10.000,Amorebieta-Etxano,39.8
2021,Todos los tipos de violencia,,,Amoroto,Por 10.000,Amoroto,0.0
2019,Todos los tipos de violencia,,,Amoroto,Por 10.000,Amoroto,96.2
2018,Todos los tipos de violencia,,,Amoroto,Por 10.000,Amoroto,0.0
2020,Todos los tipos de violencia,,,Amoroto,Por 10.000,Amoroto,0.0
2018,Todos los tipos de violencia,,,Amurrio,Por 10.000,Amurrio,0.0
2020,Todos los tipos de violencia,,,Amurrio,Por 10.000,Amurrio,36.0
2019,Todos los tipos de violencia,,,Amurrio,Por 10.000,Amurrio,38.0
2021,Todos los tipos de violencia,,,Amurrio,Por 10.000,Amurrio,43.6
2019,Todos los tipos de violencia,,,Andoain,Por 10.000,Andoain,40.0
2018,Todos los tipos de violencia,,,Andoain,Por 10.000,Andoain,34.7
2021,Todos los tipos de violencia,,,Andoain,Por 10.000,Andoain,29.6
2020,Todos los tipos de violencia,,,Andoain,Por 10.000,Andoain,42.8
2019,Todos los tipos de violencia,,,Anoeta,Por 10.000,Anoeta,10.2
2021,Todos los tipos de violencia,,,Anoeta,Por 10.000,Anoeta,29.3
2020,Todos los tipos de violencia,,,Anoeta,Por 10.000,Anoeta,29.9
2018,Todos los tipos de violencia,,,Anoeta,Por 10.000,Anoeta,31.1
2019,Todos los tipos de violencia,,,Antzuola,Por 10.000,Antzuola,36.4
2020,Todos los tipos de violencia,,,Antzuola,Por 10.000,Antzuola,27.7
2018,Todos los tipos de violencia,,,Antzuola,Por 10.000,Antzuola,27.0
2021,Todos los tipos de violencia,,,Antzuola,Por 10.000,Antzuola,18.6
2020,Todos los tipos de violencia,,,Añana,Por 10.000,Añana,0.0
2021,Todos los tipos de violencia,,,Añana,Por 10.000,Añana,0.0
2018,Todos los tipos de violencia,,,Añana,Por 10.000,Añana,0.0
2019,Todos los tipos de violencia,,,Añana,Por 10.000,Añana,0.0
2019,Todos los tipos de violencia,,,Arakaldo,Por 10.000,Arakaldo,0.0
2018,Todos los tipos de violencia,,,Arakaldo,Por 10.000,Arakaldo,0.0
2021,Todos los tipos de violencia,,,Arakaldo,Por 10.000,Arakaldo,0.0
2020,Todos los tipos de violencia,,,Arakaldo,Por 10.000,Arakaldo,0.0
2020,Todos los tipos de violencia,,,Arama,Por 10.000,Arama,93.5
2021,Todos los tipos de violencia,,,Arama,Por 10.000,Arama,0.0
2018,Todos los tipos de violencia,,,Arama,Por 10.000,Arama,0.0
2019,Todos los tipos de violencia,,,Arama,Por 10.000,Arama,0.0
2018,Todos los tipos de violencia,,,Aramaio,Por 10.000,Aramaio,0.0
2019,Todos los tipos de violencia,,,Aramaio,Por 10.000,Aramaio,13.9
2021,Todos los tipos de violencia,,,Aramaio,Por 10.000,Aramaio,28.1
2020,Todos los tipos de violencia,,,Aramaio,Por 10.000,Aramaio,13.9
2018,Todos los tipos de violencia,,,Arantzazu,Por 10.000,Arantzazu,0.0
2019,Todos los tipos de violencia,,,Arantzazu,Por 10.000,Arantzazu,161.3
