Year,Sexua,Lurralde historikoa,Units,Value
2018,,,Porcentaje,13.0
2023,,,Porcentaje,12.9
2012,,,Porcentaje,12.8
2013,,,Porcentaje,9.3
2020,,,Porcentaje,12.1
2019,,,Porcentaje,12.7
2014,,,Porcentaje,7.8
2015,,,Porcentaje,9.4
2022,,,Porcentaje,11.2
2016,,,Porcentaje,10.2
2017,,,Porcentaje,10.2
2021,,,Porcentaje,10.4
2018,,Araba / Álava,Porcentaje,8.6
2023,,Araba / Álava,Porcentaje,9.5
2016,,Araba / Álava,Porcentaje,6.1
2021,,Araba / Álava,Porcentaje,7.9
2017,,Araba / Álava,Porcentaje,6.0
2014,,Araba / Álava,Porcentaje,5.5
2012,,Araba / Álava,Porcentaje,9.4
2013,,Araba / Álava,Porcentaje,6.6
2020,,Araba / Álava,Porcentaje,8.1
2015,,Araba / Álava,Porcentaje,5.5
2022,,Araba / Álava,Porcentaje,7.7
2019,,Araba / Álava,Porcentaje,9.1
2021,,Bizkaia,Porcentaje,13.2
2023,,Bizkaia,Porcentaje,15.8
2022,,Bizkaia,Porcentaje,15.5
2016,,Bizkaia,Porcentaje,15.0
2017,,Bizkaia,Porcentaje,12.7
2014,,Bizkaia,Porcentaje,11.4
2019,,Bizkaia,Porcentaje,18.1
2015,,Bizkaia,Porcentaje,14.5
2012,,Bizkaia,Porcentaje,17.4
2018,,Bizkaia,Porcentaje,16.2
2020,,Bizkaia,Porcentaje,13.3
2013,,Bizkaia,Porcentaje,13.6
2023,,Gipuzkoa,Porcentaje,17.7
2016,,Gipuzkoa,Porcentaje,16.7
2021,,Gipuzkoa,Porcentaje,13.9
2022,,Gipuzkoa,Porcentaje,15.4
2015,,Gipuzkoa,Porcentaje,13.9
2014,,Gipuzkoa,Porcentaje,9.2
2020,,Gipuzkoa,Porcentaje,21.3
2013,,Gipuzkoa,Porcentaje,10.5
2018,,Gipuzkoa,Porcentaje,20.2
2012,,Gipuzkoa,Porcentaje,15.4
2019,,Gipuzkoa,Porcentaje,16.5
2017,,Gipuzkoa,Porcentaje,17.7
2019,Emakumea,,Porcentaje,9.3
2013,Emakumea,,Porcentaje,9.8
2023,Emakumea,,Porcentaje,6.7
2015,Emakumea,,Porcentaje,3.0
2014,Emakumea,,Porcentaje,4.4
2016,Emakumea,,Porcentaje,6.5
2022,Emakumea,,Porcentaje,8.1
