Year,Pobreza,Units,Value
2022,,PT,19.5
2018,,PT,20.7
2012,,PT,19.9
2014,,PT,22.7
2008,,PT,17.9
2016,,PT,20.6
2020,,PT,19.9
2012,NAHC,PT,15.4
2016,NAHC,PT,16.4
2008,NAHC,PT,14.8
2022,NAHC,PT,16.5
2020,NAHC,PT,17.8
2018,NAHC,PT,17.7
2014,NAHC,PT,18.5
2022,SMSD,PT,4.7
2008,SMSD,PT,2.7
2012,SMSD,PT,5.8
2014,SMSD,PT,5.2
2016,SMSD,PT,6.4
2018,SMSD,PT,5.6
2020,SMSD,PT,4.1
2012,VLWI,PT,9.9
2014,VLWI,PT,12
2016,VLWI,PT,10.2
2018,VLWI,PT,9.1
2020,VLWI,PT,7.6
2022,VLWI,PT,7.8
2008,VLWI,PT,5.6
