Year,Series,Ámbito,Units,Value
2015,SI_AGR_LSFP,01,Euros constantes,9404.4
2016,SI_AGR_LSFP,01,Euros constantes,17472.5
2017,SI_AGR_LSFP,01,Euros constantes,19983.4
2018,SI_AGR_LSFP,01,Euros constantes,18254.9
2019,SI_AGR_LSFP,01,Euros constantes,22051.5
2020,SI_AGR_LSFP,01,Euros constantes,20197.8
2021,SI_AGR_LSFP,01,Euros constantes,33766.7
2015,SI_AGR_SSFP,01,Euros constantes,18898.2
2016,SI_AGR_SSFP,01,Euros constantes,17907.0
2017,SI_AGR_SSFP,01,Euros constantes,12241.1
2018,SI_AGR_SSFP,01,Euros constantes,14879.2
2019,SI_AGR_SSFP,01,Euros constantes,12267.3
2020,SI_AGR_SSFP,01,Euros constantes,7637.6
2021,SI_AGR_SSFP,01,Euros constantes,7234.3
2015,SI_AGR_LSFP,20,Euros constantes,15465.7
2016,SI_AGR_LSFP,20,Euros constantes,15024.3
2017,SI_AGR_LSFP,20,Euros constantes,19512.8
2018,SI_AGR_LSFP,20,Euros constantes,15629.8
2019,SI_AGR_LSFP,20,Euros constantes,15346.9
2020,SI_AGR_LSFP,20,Euros constantes,13018.2
2021,SI_AGR_LSFP,20,Euros constantes,11246.8
2015,SI_AGR_SSFP,20,Euros constantes,4877.0
2016,SI_AGR_SSFP,20,Euros constantes,6939.4
2017,SI_AGR_SSFP,20,Euros constantes,6196.0
2018,SI_AGR_SSFP,20,Euros constantes,6386.2
2019,SI_AGR_SSFP,20,Euros constantes,5670.4
2020,SI_AGR_SSFP,20,Euros constantes,1816.6
2021,SI_AGR_SSFP,20,Euros constantes,2926.6
2015,SI_AGR_LSFP,48,Euros constantes,14542.8
2016,SI_AGR_LSFP,48,Euros constantes,15362.7
2017,SI_AGR_LSFP,48,Euros constantes,18102.8
2018,SI_AGR_LSFP,48,Euros constantes,12988.9
2019,SI_AGR_LSFP,48,Euros constantes,17973.2
2020,SI_AGR_LSFP,48,Euros constantes,20190.1
2021,SI_AGR_LSFP,48,Euros constantes,14025.1
2015,SI_AGR_SSFP,48,Euros constantes,6274.2
2016,SI_AGR_SSFP,48,Euros constantes,7118.4
2017,SI_AGR_SSFP,48,Euros constantes,5406.1
2018,SI_AGR_SSFP,48,Euros constantes,7334.5
2019,SI_AGR_SSFP,48,Euros constantes,11525.0
2020,SI_AGR_SSFP,48,Euros constantes,7641.5
2021,SI_AGR_SSFP,48,Euros constantes,5118.8
2015,SI_AGR_LSFP,_T,Euros constantes,13529.1
2016,SI_AGR_LSFP,_T,Euros constantes,15834.3
2017,SI_AGR_LSFP,_T,Euros constantes,19387.5
2018,SI_AGR_LSFP,_T,Euros constantes,15931.4
2019,SI_AGR_LSFP,_T,Euros constantes,17862.3
2020,SI_AGR_LSFP,_T,Euros constantes,16492.3
2021,SI_AGR_LSFP,_T,Euros constantes,18226.4
2015,SI_AGR_SSFP,_T,Euros constantes,7680.2
2016,SI_AGR_SSFP,_T,Euros constantes,8479.1
2017,SI_AGR_SSFP,_T,Euros constantes,6744.6
2018,SI_AGR_SSFP,_T,Euros constantes,7612.6
2019,SI_AGR_SSFP,_T,Euros constantes,7899.9
2020,SI_AGR_SSFP,_T,Euros constantes,3757.6
2021,SI_AGR_SSFP,_T,Euros constantes,4033.8
