Year,Territorio,Units,Value
2019,,Porcentaje,1.9
2022,,Porcentaje,5.8
2021,,Porcentaje,6.4
2018,,Porcentaje,2.9
2023,,Porcentaje,2.2
2017,,Porcentaje,2.5
2015,,Porcentaje,2.9
2012,,Porcentaje,-2.4
2016,,Porcentaje,3.4
2011,,Porcentaje,0.0
2014,,Porcentaje,1.9
2013,,Porcentaje,-1.7
2010,,Porcentaje,0.3
2020,,Porcentaje,-10.0
2012,Araba/Álava,Porcentaje,-3.5
2013,Araba/Álava,Porcentaje,-1.3
2014,Araba/Álava,Porcentaje,2.1
2010,Araba/Álava,Porcentaje,0.0
2018,Araba/Álava,Porcentaje,1.6
2017,Araba/Álava,Porcentaje,1.7
2011,Araba/Álava,Porcentaje,0.2
2020,Araba/Álava,Porcentaje,-11.0
2021,Araba/Álava,Porcentaje,7.4
2015,Araba/Álava,Porcentaje,2.3
2019,Araba/Álava,Porcentaje,1.2
2022,Araba/Álava,Porcentaje,3.8
2016,Araba/Álava,Porcentaje,2.9
2023,Araba/Álava,Porcentaje,2.2
2013,Bizkaia,Porcentaje,-1.4
2015,Bizkaia,Porcentaje,2.8
2016,Bizkaia,Porcentaje,3.7
2017,Bizkaia,Porcentaje,2.9
2019,Bizkaia,Porcentaje,2.0
2020,Bizkaia,Porcentaje,-9.3
2021,Bizkaia,Porcentaje,6.3
2023,Bizkaia,Porcentaje,1.9
2010,Bizkaia,Porcentaje,0.4
2011,Bizkaia,Porcentaje,0.0
2012,Bizkaia,Porcentaje,-2.5
2022,Bizkaia,Porcentaje,7.1
2018,Bizkaia,Porcentaje,2.8
2014,Bizkaia,Porcentaje,2.0
2022,Gipuzkoa,Porcentaje,4.7
2023,Gipuzkoa,Porcentaje,2.6
2010,Gipuzkoa,Porcentaje,0.3
2011,Gipuzkoa,Porcentaje,-0.2
2012,Gipuzkoa,Porcentaje,-1.8
2013,Gipuzkoa,Porcentaje,-2.3
2014,Gipuzkoa,Porcentaje,1.6
2015,Gipuzkoa,Porcentaje,3.2
2016,Gipuzkoa,Porcentaje,3.2
2017,Gipuzkoa,Porcentaje,2.4
2018,Gipuzkoa,Porcentaje,3.6
2019,Gipuzkoa,Porcentaje,2.2
2020,Gipuzkoa,Porcentaje,-10.4
2021,Gipuzkoa,Porcentaje,6.1
