Year,Sexua,Lurralde historikoa,Units,Value
2023,,,Porcentaje,69.7
2017,,,Porcentaje,76.0
2020,,,Porcentaje,71.8
2019,,,Porcentaje,69.5
2014,,,Porcentaje,76.4
2018,,,Porcentaje,64.0
2022,,,Porcentaje,69.2
2020,,Araba / Álava,Porcentaje,73.7
2018,,Araba / Álava,Porcentaje,64.3
2019,,Araba / Álava,Porcentaje,69.6
2017,,Araba / Álava,Porcentaje,75.2
2023,,Araba / Álava,Porcentaje,72.5
2014,,Araba / Álava,Porcentaje,76.3
2022,,Araba / Álava,Porcentaje,68.1
2023,,Bizkaia,Porcentaje,68.0
2017,,Bizkaia,Porcentaje,73.9
2020,,Bizkaia,Porcentaje,69.8
2019,,Bizkaia,Porcentaje,67.9
2014,,Bizkaia,Porcentaje,75.3
2022,,Bizkaia,Porcentaje,66.5
2018,,Bizkaia,Porcentaje,61.8
2019,,Gipuzkoa,Porcentaje,72.0
2022,,Gipuzkoa,Porcentaje,74.0
2023,,Gipuzkoa,Porcentaje,71.2
2018,,Gipuzkoa,Porcentaje,67.4
2020,,Gipuzkoa,Porcentaje,74.3
2017,,Gipuzkoa,Porcentaje,79.8
2014,,Gipuzkoa,Porcentaje,78.3
2023,Emakumea,,Porcentaje,57.0
2019,Emakumea,,Porcentaje,55.4
2014,Emakumea,,Porcentaje,65.6
2018,Emakumea,,Porcentaje,50.6
2022,Emakumea,,Porcentaje,55.4
2017,Emakumea,,Porcentaje,63.8
2020,Emakumea,,Porcentaje,60.2
2020,Emakumea,Araba / Álava,Porcentaje,62.0
2014,Emakumea,Araba / Álava,Porcentaje,66.1
2022,Emakumea,Araba / Álava,Porcentaje,54.6
2019,Emakumea,Araba / Álava,Porcentaje,56.8
2017,Emakumea,Araba / Álava,Porcentaje,62.5
2018,Emakumea,Araba / Álava,Porcentaje,53.7
2023,Emakumea,Araba / Álava,Porcentaje,58.6
2019,Emakumea,Bizkaia,Porcentaje,53.6
2023,Emakumea,Bizkaia,Porcentaje,56.1
2022,Emakumea,Bizkaia,Porcentaje,53.0
2017,Emakumea,Bizkaia,Porcentaje,60.6
2018,Emakumea,Bizkaia,Porcentaje,48.4
2020,Emakumea,Bizkaia,Porcentaje,58.0
2014,Emakumea,Bizkaia,Porcentaje,65.1
2023,Emakumea,Gipuzkoa,Porcentaje,57.7
2022,Emakumea,Gipuzkoa,Porcentaje,59.9
2020,Emakumea,Gipuzkoa,Porcentaje,62.9
2019,Emakumea,Gipuzkoa,Porcentaje,57.6
2018,Emakumea,Gipuzkoa,Porcentaje,52.7
2017,Emakumea,Gipuzkoa,Porcentaje,69.5
2014,Emakumea,Gipuzkoa,Porcentaje,66.3
2023,Gizona,,Porcentaje,83.6
2014,Gizona,,Porcentaje,87.9
2022,Gizona,,Porcentaje,84.1
2019,Gizona,,Porcentaje,84.7
2018,Gizona,,Porcentaje,78.5
2020,Gizona,,Porcentaje,84.5
2017,Gizona,,Porcentaje,89.2
2023,Gizona,Araba / Álava,Porcentaje,87.2
2018,Gizona,Araba / Álava,Porcentaje,75.5
2017,Gizona,Araba / Álava,Porcentaje,88.5
2022,Gizona,Araba / Álava,Porcentaje,82.2
2020,Gizona,Araba / Álava,Porcentaje,86.0
2019,Gizona,Araba / Álava,Porcentaje,83.2
2014,Gizona,Araba / Álava,Porcentaje,86.8
2023,Gizona,Bizkaia,Porcentaje,81.2
2022,Gizona,Bizkaia,Porcentaje,81.6
2020,Gizona,Bizkaia,Porcentaje,82.7
2019,Gizona,Bizkaia,Porcentaje,83.5
2018,Gizona,Bizkaia,Porcentaje,76.5
2017,Gizona,Bizkaia,Porcentaje,88.6
2014,Gizona,Bizkaia,Porcentaje,86.4
2020,Gizona,Gipuzkoa,Porcentaje,86.5
2019,Gizona,Gipuzkoa,Porcentaje,87.3
2018,Gizona,Gipuzkoa,Porcentaje,83.0
2017,Gizona,Gipuzkoa,Porcentaje,90.7
2014,Gizona,Gipuzkoa,Porcentaje,90.9
2023,Gizona,Gipuzkoa,Porcentaje,85.6
2022,Gizona,Gipuzkoa,Porcentaje,88.7
