Year,Series,Units,Value
2012,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.31
2021,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.24
2019,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.24
2013,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.28
2011,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.3
2016,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.26
2018,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.25
2017,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.27
2015,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.28
2010,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.32
2020,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.24
2014,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.28
2022,Emisiones totales de gases de efecto invernadero por unidad de PIB,Kg de CO2 equivalente por euro de PIB,0.24
2010,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,9.94
2011,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,9.23
2012,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,9.32
2013,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.56
2016,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.54
2014,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.57
2015,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.86
2017,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.98
2021,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.05
2018,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.66
2020,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,7.43
2019,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.42
2022,Emisiones totales de gases de efecto invernadero per cápita,Toneladas de CO2 equivalente per cápita,8.43
2010,Emisiones de gases de efecto invernadero respecto al año 1990,Porcentaje,4.02
2011,Emisiones de gases de efecto invernadero respecto al año 1990,Porcentaje,-3.12
2012,Emisiones de gases de efecto invernadero respecto al año 1990,Porcentaje,-2.15
2013,Emisiones de gases de efecto invernadero respecto al año 1990,Porcentaje,-10.31
2014,Emisiones de gases de efecto invernadero respecto al año 1990,Porcentaje,-10.31
2016,Emisiones de gases de efecto invernadero respecto al año 1990,Porcentaje,-10.56
2017,Emisiones de gases de efecto invernadero respecto al año 1990,Porcentaje,-5.72
2018,Emisiones de gases de efecto invernadero respecto al año 1990,Porcentaje,-8.83
2015,Emisiones de gases de efecto invernadero respecto al año 1990,Porcentaje,-7.27
2022,Emisiones de gases de efecto invernadero respecto al año 1990,Porcentaje,-10.82
2019,Emisiones de gases de efecto invernadero respecto al año 1990,Porcentaje,-10.97
2020,Emisiones de gases de efecto invernadero respecto al año 1990,Porcentaje,-21.36
2021,Emisiones de gases de efecto invernadero respecto al año 1990,Porcentaje,-14.83
2010,Emisiones de gases de efecto invernadero respecto al año 2005,Porcentaje,-14.54
2011,Emisiones de gases de efecto invernadero respecto al año 2005,Porcentaje,-20.41
2012,Emisiones de gases de efecto invernadero respecto al año 2005,Porcentaje,-19.61
2013,Emisiones de gases de efecto invernadero respecto al año 2005,Porcentaje,-26.32
2014,Emisiones de gases de efecto invernadero respecto al año 2005,Porcentaje,-26.32
2015,Emisiones de gases de efecto invernadero respecto al año 2005,Porcentaje,-23.82
2016,Emisiones de gases de efecto invernadero respecto al año 2005,Porcentaje,-26.52
2017,Emisiones de gases de efecto invernadero respecto al año 2005,Porcentaje,-22.55
2018,Emisiones de gases de efecto invernadero respecto al año 2005,Porcentaje,-25.1
2019,Emisiones de gases de efecto invernadero respecto al año 2005,Porcentaje,-26.86
2020,Emisiones de gases de efecto invernadero respecto al año 2005,Porcentaje,-35.4
2021,Emisiones de gases de efecto invernadero respecto al año 2005,Porcentaje,-30.63
2022,Emisiones de gases de efecto invernadero respecto al año 2005,Porcentaje,-27.37
