Year,Territorio histórico,Units,Value
2021,,Porcentaje,4.9
2016,,Porcentaje,1.1
2019,,Porcentaje,1.1
2017,,Porcentaje,0.8
2014,,Porcentaje,1.0
2015,,Porcentaje,0.9
2011,,Porcentaje,1.6
2020,,Porcentaje,-8.0
2013,,Porcentaje,0.6
2022,,Porcentaje,3.2
2018,,Porcentaje,0.9
2012,,Porcentaje,1.1
2022,Araba/Álava,Porcentaje,1.7
2011,Araba/Álava,Porcentaje,2.6
2013,Araba/Álava,Porcentaje,0.7
2017,Araba/Álava,Porcentaje,-0.2
2012,Araba/Álava,Porcentaje,1.0
2020,Araba/Álava,Porcentaje,-8.5
2014,Araba/Álava,Porcentaje,2.7
2019,Araba/Álava,Porcentaje,0.7
2018,Araba/Álava,Porcentaje,-0.1
2015,Araba/Álava,Porcentaje,1.6
2021,Araba/Álava,Porcentaje,4.7
2016,Araba/Álava,Porcentaje,0.8
2011,Bizkaia,Porcentaje,1.5
2018,Bizkaia,Porcentaje,0.8
2020,Bizkaia,Porcentaje,-7.5
2021,Bizkaia,Porcentaje,4.9
2022,Bizkaia,Porcentaje,4.4
2012,Bizkaia,Porcentaje,0.8
2013,Bizkaia,Porcentaje,1.1
2014,Bizkaia,Porcentaje,0.6
2015,Bizkaia,Porcentaje,0.6
2016,Bizkaia,Porcentaje,1.3
2019,Bizkaia,Porcentaje,0.9
2017,Bizkaia,Porcentaje,1.3
2019,Gipuzkoa,Porcentaje,1.7
2020,Gipuzkoa,Porcentaje,-8.6
2021,Gipuzkoa,Porcentaje,5.2
2022,Gipuzkoa,Porcentaje,2.2
2011,Gipuzkoa,Porcentaje,1.3
2012,Gipuzkoa,Porcentaje,1.4
2013,Gipuzkoa,Porcentaje,0.1
2014,Gipuzkoa,Porcentaje,0.5
2015,Gipuzkoa,Porcentaje,1.2
2016,Gipuzkoa,Porcentaje,1.3
2017,Gipuzkoa,Porcentaje,0.6
2018,Gipuzkoa,Porcentaje,1.2
